service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2370-2939,1,1,1,1,1,1,0,20150701,20250630
2370-25264,0,0,0,0,0,1,0,20190901,20250630
2370-635,1,1,1,1,1,0,0,20150701,20250630
2370-636,0,0,0,0,0,1,1,20150701,20250630
2370-637,0,0,0,0,0,1,0,20150701,20250630
2370-482,1,1,1,1,1,1,1,20150701,20250630
2370-638,0,0,0,0,0,0,1,20150701,20250630
2370-44029,0,0,0,0,0,1,1,20220901,20260101
2370-21778,0,0,0,0,1,0,0,20190401,20250630
2370-2912,1,1,1,1,1,0,1,20150701,20250630
