route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2370-2026_57812,2370-53,211,"Vilnius (AS) - Laibiškės per Rukainius, Medininkus",,3,http://www.visimarsrutai.lt,,,,,
2370-2026_57818,2370-53,211,"Vilnius (AS) - Laibiškės per Rukainius, Medininkus",,3,http://www.visimarsrutai.lt,,,,,
2370-2022_57569,2370-53,204,Vilnius (AS) - Slabada per Tumosus,,3,http://www.visimarsrutai.lt,,,,,
2370-2022_57559,2370-53,204,Vilnius (AS) - Slabada per Tumosus,,3,http://www.visimarsrutai.lt,,,,,
2370-2024_57776,2370-53,210,Vilnius (AS) - Medininkai per Rukainius,,3,http://www.visimarsrutai.lt,,,,,
2370-2005_57389,2370-53,196,"Vilnius (AS) - Kalveliai per Rukainius, Šumską",,3,http://www.visimarsrutai.lt,,,,,
2370-2005_57378,2370-53,196,"Vilnius (AS) - Kalveliai per Rukainius, Šumską",,3,http://www.visimarsrutai.lt,,,,,
2370-2730_57062,2370-53,135,Vilnius (Pramogų arenos stotelė) – Maišiagala per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-2730_57064,2370-53,135,Vilnius (Pramogų arenos stotelė) – Maišiagala per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-2021_1042430,2370-53,202,Vilnius (AS) - Senasalis,,3,http://www.visimarsrutai.lt,,,,,
2370-2021_1042431,2370-53,202,Vilnius (AS) - Senasalis,,3,http://www.visimarsrutai.lt,,,,,
2370-2021_1042432,2370-53,202,Vilnius (AS) - Senasalis,,3,http://www.visimarsrutai.lt,,,,,
2370-2021_1042435,2370-53,202,Vilnius (AS) - Senasalis,,3,http://www.visimarsrutai.lt,,,,,
2370-2020_1042426,2370-53,200,Vilnius (AS) - Keipūnai,,3,http://www.visimarsrutai.lt,,,,,
2370-2020_2311649,2370-53,200,Vilnius (AS) - Keipūnai,,3,http://www.visimarsrutai.lt,,,,,
2370-3644_5761519,2370-53,137,Vilnius (Pramogų arenos stotelė) – Barskūnai per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-3644_5761522,2370-53,137,Vilnius (Pramogų arenos stotelė) – Barskūnai per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-1942_7500909,2370-53,217,Vilnius (Autobusų stotis) – Šveicarai,,3,http://www.visimarsrutai.lt,,,,,
2370-10081,2370-53,171,Vilnius (Antakalnio transporto mazgas) - Nemenčinė,,3,http://www.visimarsrutai.lt,,,,,
2370-3807,2370-53,172,"Vilnius (Antakalnio ž.) - Bezdonys per Karačiūnus, sod. B-iją „Rapsas“",,3,http://www.visimarsrutai.lt,,,,,
2370-1811,2370-53,186,Vilnius (Autobusų stotis) – Vindžiūnai per Gurius,,3,http://www.visimarsrutai.lt,,,,,
2370-4722,2370-53,101,"Vilnius - Rastinėnai per Karveliškes, Čekoniškes",,3,http://www.visimarsrutai.lt,,,,,
2370-3642,2370-53,130,Vilnius (Pramogų arenos stotelė) – Giedraičiai per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-3781,2370-53,146,Nemenčinė - Skirgiškės,,3,http://www.visimarsrutai.lt,,,,,
2370-3643,2370-53,132,Vilnius (Pramogų arenos stotelė) – Paberžė per Vyžulionis,,3,http://www.visimarsrutai.lt,,,,,
2370-3784,2370-53,157,Nemenčinė - Gėla,,3,http://www.visimarsrutai.lt,,,,,
2370-3786,2370-53,158,"Vilnius (Antakalnio tr.m.) - Našiūnai per Vėriškės, Aleksandriškės Sužionis",,3,http://www.visimarsrutai.lt,,,,,
2370-3806,2370-53,174,Vilnius (Antakalnio ž.) – Bezdonys per Balžio šilą,,3,http://www.visimarsrutai.lt,,,,,
2370-3645,2370-53,144,Vilnius (Žalgirio stotelė) – Nemenčinė per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-2717,2370-53,154,"Vilnius (Antakalnio tr.m.) - Buivydžiai per Nemenčinę, Bezdonis",,3,http://www.visimarsrutai.lt,,,,,
2370-1702,2370-53,188,Vilnius (Autobusų stotis) – Šumskas per Gurius,,3,http://www.visimarsrutai.lt,,,,,
2370-1941,2370-53,215,Vilnius (Autobusų stotis) – Akmeniškės,,3,http://www.visimarsrutai.lt,,,,,
2370-3787,2370-53,160,"Nemenčinė - Sužonys, Rakšonys per Pailgę, Raudondvarį, Sapiegiškės, Danilava",,3,http://www.visimarsrutai.lt,,,,,
2370-3789,2370-53,163,"Vilnius (Antakalnio tr.m.) - Eitminiškės per Nemenčinę, Sirvydiškes, Dailydėnus",,3,http://www.visimarsrutai.lt,,,,,
2370-1936,2370-53,212,Vilnius (Autobusų stotis) – Tabariškės,,3,http://www.visimarsrutai.lt,,,,,
2370-8681,2370-53,144,Vilnius (Žalgirio stotelė) – Nemenčinė per Pikeliškes,,3,http://www.visimarsrutai.lt,,,,,
2370-2729,2370-53,133,Vilnius (Pramogų arenos stotelė) – Adomaičiai per Pociūnus,,3,http://www.visimarsrutai.lt,,,,,
2370-1844,2370-53,239,"Vilnius (Vaduvos st.) – Mažieji Lygainiai per Šventininkus, Juodbalius",,3,http://www.visimarsrutai.lt,,,,,
2370-2708,2370-53,148,"Vilnius (Antakalnio tr.m.) - Sapiegiškės per Nemenčinę, Sužionis",,3,http://www.visimarsrutai.lt,,,,,
2370-2724,2370-53,145,Vilnius (Žalgirio st.) - Raudondvaris per Vanaginę,,3,http://www.visimarsrutai.lt,,,,,
2370-1744,2370-53,191,Vilnius (Autobusų stotis) – Kyviškės,,3,http://www.visimarsrutai.lt,,,,,
