stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_desc,stop_timezone,wheelchair_boarding,level_id,platform_code
2370-3851,,Baliniai,54.855794,25.621271,3851,https://www.visimarsrutai.lt/#/stop/result?stopId=3851,0,,,,0,,
2370-3885,,Naujasėdžiai,54.926595,25.332244,3885,https://www.visimarsrutai.lt/#/stop/result?stopId=3885,0,,,,0,,
2370-3970,,Minkeliai,54.949069,25.490031,3970,https://www.visimarsrutai.lt/#/stop/result?stopId=3970,0,,,,0,,
2370-4026,,Gudoniškės,54.924157,25.364925,4026,https://www.visimarsrutai.lt/#/stop/result?stopId=4026,0,,,,0,,
2370-24433,,Krikščioniškės,54.880788,25.464819,24433,https://www.visimarsrutai.lt/#/stop/result?stopId=24433,0,,,,0,,
2370-4759,,Pakryžė,54.907886,25.480021,4759,https://www.visimarsrutai.lt/#/stop/result?stopId=4759,0,,,,0,,
2370-4783,,Barvoniškės,54.582731,25.741941,4783,https://www.visimarsrutai.lt/#/stop/result?stopId=4783,0,,,,0,,
2370-24484,,Raudondvario katilinė,54.830081,25.283996,24484,https://www.visimarsrutai.lt/#/stop/result?stopId=24484,0,,,,0,,
2370-5559,,Našiūnai,55.019784,25.521516,5559,https://www.visimarsrutai.lt/#/stop/result?stopId=5559,0,,,,0,,
2370-5732,,Gaukeliškis,55.01047,25.380497,5732,https://www.visimarsrutai.lt/#/stop/result?stopId=5732,0,,,,0,,
2370-27556,,Anavilis,54.940158,25.222301,27556,https://www.visimarsrutai.lt/#/stop/result?stopId=27556,0,,,,0,,
2370-28146,,Skirgiškių sodai,54.838486,25.367347,28146,https://www.visimarsrutai.lt/#/stop/result?stopId=28146,0,,,,0,,
2370-6165,,Koplyčnikai,54.717256,25.095816,6165,https://www.visimarsrutai.lt/#/stop/result?stopId=6165,0,,,,0,,
2370-6742,,2-oji Rudamina,54.583339,25.356636,6742,https://www.visimarsrutai.lt/#/stop/result?stopId=6742,0,,,,0,,
2370-6966,,Užubastis,54.592527,25.087174,6966,https://www.visimarsrutai.lt/#/stop/result?stopId=6966,0,,,,0,,
2370-28228,,Balžio žiedas,54.794013,25.437037,28228,https://www.visimarsrutai.lt/#/stop/result?stopId=28228,0,,,,0,,
2370-28231,,Ąžuolinė,54.784205,25.5059,28231,https://www.visimarsrutai.lt/#/stop/result?stopId=28231,0,,,,0,,
2370-29584,,Smalinės,54.709354,25.187104,29584,https://www.visimarsrutai.lt/#/stop/result?stopId=29584,0,,,,0,,
2370-29590,,Pajautos,54.710443,25.174349,29590,https://www.visimarsrutai.lt/#/stop/result?stopId=29590,0,,,,0,,
2370-29591,,Pajautos,54.710253,25.175773,29591,https://www.visimarsrutai.lt/#/stop/result?stopId=29591,0,,,,0,,
2370-33115,,SB „Ąžuolynas“,54.799132,25.499494,33115,https://www.visimarsrutai.lt/#/stop/result?stopId=33115,0,,,,0,,
2370-33118,,Mokykla,54.801369,25.515894,33118,https://www.visimarsrutai.lt/#/stop/result?stopId=33118,0,,,,0,,
2370-33183,,Tapelių ežeras,54.771102,25.446987,33183,https://www.visimarsrutai.lt/#/stop/result?stopId=33183,0,,,,0,,
2370-7060,,Liepų st.,54.648774,25.43966,7060,https://www.visimarsrutai.lt/#/stop/result?stopId=7060,0,,,,0,,
2370-7107,,Šiaudinė,54.621266,25.449681,7107,https://www.visimarsrutai.lt/#/stop/result?stopId=7107,0,,,,0,,
2370-7556,,Gulbinai,54.790315,25.275256,7556,https://www.visimarsrutai.lt/#/stop/result?stopId=7556,0,,,,0,,
2370-7740,,Užuprūdžiai,54.564548,25.506498,7740,https://www.visimarsrutai.lt/#/stop/result?stopId=7740,0,,,,0,,
2370-7764,,2-ieji Leičiai,54.756565,25.070167,7764,https://www.visimarsrutai.lt/#/stop/result?stopId=7764,0,,,,0,,
2370-39924,,Žiedas,54.844822,25.47953,39924,https://www.visimarsrutai.lt/#/stop/result?stopId=39924,0,,,,0,,
2370-39929,,žieda,54.844839,25.479495,39929,https://www.visimarsrutai.lt/#/stop/result?stopId=39929,0,,,,0,,
2370-43880,,Rasos,54.883287,25.300491,43880,https://www.visimarsrutai.lt/#/stop/result?stopId=43880,0,,,,0,,
2370-8069,,Rūkainiai,54.611017,25.518715,8069,https://www.visimarsrutai.lt/#/stop/result?stopId=8069,0,,,,0,,
2370-8511,,Kyviškės,54.652915,25.505801,8511,https://www.visimarsrutai.lt/#/stop/result?stopId=8511,0,,,,0,,
2370-8787,,Jociūnų st.,54.489723,25.551308,8787,https://www.visimarsrutai.lt/#/stop/result?stopId=8787,0,,,,0,,
2370-11400,,Eitmeniškės,54.921386,25.38802,11400,https://www.visimarsrutai.lt/#/stop/result?stopId=11400,0,,,,0,,
2370-10316,,Rukainiai,54.614706,25.506993,10316,https://www.visimarsrutai.lt/#/stop/result?stopId=10316,0,,,,0,,
2370-10471,,Perūnai,54.985741,25.306659,10471,https://www.visimarsrutai.lt/#/stop/result?stopId=10471,0,,,,0,,
2370-11377,,Pučkalaukis,54.855783,25.46164,11377,https://www.visimarsrutai.lt/#/stop/result?stopId=11377,0,,,,0,,
2370-11909,,Misiučėnų st.,54.478326,25.476138,11909,https://www.visimarsrutai.lt/#/stop/result?stopId=11909,0,,,,0,,
2370-11944,,Antanavas,54.878775,25.111259,11944,https://www.visimarsrutai.lt/#/stop/result?stopId=11944,0,,,,0,,
2370-11983,,Juozapinė,54.55016,25.624494,11983,https://www.visimarsrutai.lt/#/stop/result?stopId=11983,0,,,,0,,
2370-12024,,Kryžkelis,54.606545,25.540974,12024,https://www.visimarsrutai.lt/#/stop/result?stopId=12024,0,,,,0,,
2370-13639,,Aleksandriškės,54.923233,25.484385,13639,https://www.visimarsrutai.lt/#/stop/result?stopId=13639,0,,,,0,,
2370-13682,,Gegužinė,54.858876,25.444637,13682,https://www.visimarsrutai.lt/#/stop/result?stopId=13682,0,,,,0,,
2370-14705,,Ragūnai,54.891966,25.472979,14705,https://www.visimarsrutai.lt/#/stop/result?stopId=14705,0,,,,0,,
2370-14719,,Varkalabiškės,54.548558,25.500816,14719,https://www.visimarsrutai.lt/#/stop/result?stopId=14719,0,,,,0,,
2370-14794,,Karveliškės,54.862724,25.424283,14794,https://www.visimarsrutai.lt/#/stop/result?stopId=14794,0,,,,0,,
2370-15686,,Baltalaukis,54.864007,25.40395,15686,https://www.visimarsrutai.lt/#/stop/result?stopId=15686,0,,,,0,,
2370-15778,,2-ieji Žemaiteliai,54.550167,25.56165,15778,https://www.visimarsrutai.lt/#/stop/result?stopId=15778,0,,,,0,,
2370-15956,,Kalveliai,54.635687,25.679623,15956,https://www.visimarsrutai.lt/#/stop/result?stopId=15956,0,,,,0,,
2370-17079,,Spaudos rūmai,54.70361,25.22353,17079,https://www.visimarsrutai.lt/#/stop/result?stopId=17079,0,,link Justiniškių,,0,,
2370-14978,,Rūžiškės,54.915832,25.601639,14978,https://www.visimarsrutai.lt/#/stop/result?stopId=14978,0,,,,0,,
2370-17404,,Čekėnų st.,54.59302,25.33798,17404,https://www.visimarsrutai.lt/#/stop/result?stopId=17404,0,,link miesto,,0,,
2370-22489,,Turgeliai,54.455889,25.507358,22489,https://www.visimarsrutai.lt/#/stop/result?stopId=22489,0,,,,0,,
2370-27226,,Dunojaus,54.666444,25.30721,27226,https://www.visimarsrutai.lt/#/stop/result?stopId=27226,0,,,,0,,
2370-3637,,Nemenčinės poliklinika,54.852968,25.47432,3637,https://www.visimarsrutai.lt/#/stop/result?stopId=3637,0,,,,0,,
2370-3772,,Pervaža,54.812005,25.523408,3772,https://www.visimarsrutai.lt/#/stop/result?stopId=3772,0,,,,0,,
2370-21445,,Molėtų plentas,54.750269,25.277628,21445,https://www.visimarsrutai.lt/#/stop/result?stopId=21445,0,,,,0,,
2370-21517,,Kyviškių aerodromas,54.669529,25.501728,21517,https://www.visimarsrutai.lt/#/stop/result?stopId=21517,0,,,,0,,
2370-21932,,Akmeniškės I,54.517372,25.464805,21932,https://www.visimarsrutai.lt/#/stop/result?stopId=21932,0,,,,0,,
2370-21936,,Šveicarai I,54.571702,25.432165,21936,https://www.visimarsrutai.lt/#/stop/result?stopId=21936,0,,,,0,,
2370-3923,,1-ieji Vyžulionys,54.937363,25.293719,3923,https://www.visimarsrutai.lt/#/stop/result?stopId=3923,0,,,,0,,
2370-3959,,Rukainiai,54.61536,25.499038,3959,https://www.visimarsrutai.lt/#/stop/result?stopId=3959,0,,,,0,,
2370-3964,,2-oji Nemenčinė,54.834729,25.484521,3964,https://www.visimarsrutai.lt/#/stop/result?stopId=3964,0,,,,0,,
2370-4093,,Daukšiai,54.982127,25.597016,4093,https://www.visimarsrutai.lt/#/stop/result?stopId=4093,0,,,,0,,
2370-22026,,Savičiūnai,54.573404,25.565143,22026,https://www.visimarsrutai.lt/#/stop/result?stopId=22026,0,,,,0,,
2370-4770,,2-oji Nemenčinė,54.834659,25.483522,4770,https://www.visimarsrutai.lt/#/stop/result?stopId=4770,0,,,,0,,
2370-4778,,Baliniai,54.85553,25.620384,4778,https://www.visimarsrutai.lt/#/stop/result?stopId=4778,0,,,,0,,
2370-4784,,Gudoniškės,54.923651,25.366839,4784,https://www.visimarsrutai.lt/#/stop/result?stopId=4784,0,,,,0,,
2370-4970,,2-ieji Pakonys,54.761795,25.051003,4970,https://www.visimarsrutai.lt/#/stop/result?stopId=4970,0,,,,0,,
2370-4977,,Šilėnai,54.723005,25.083034,4977,https://www.visimarsrutai.lt/#/stop/result?stopId=4977,0,,,,0,,
2370-5179,,Rastinėnų mokykla,54.763233,25.04367,5179,https://www.visimarsrutai.lt/#/stop/result?stopId=5179,0,,,,0,,
2370-5747,,Bezdonys,54.806258,25.520723,5747,https://www.visimarsrutai.lt/#/stop/result?stopId=5747,0,,,,0,,
2370-5790,,Gegužinė,54.859634,25.443374,5790,https://www.visimarsrutai.lt/#/stop/result?stopId=5790,0,,,,0,,
2370-27552,,Makučiai,54.948661,25.253441,27552,https://www.visimarsrutai.lt/#/stop/result?stopId=27552,0,,,,0,,
2370-27554,,Vibrantiškės,54.973695,25.288466,27554,https://www.visimarsrutai.lt/#/stop/result?stopId=27554,0,,,,0,,
2370-27560,,Mitkuškiai,54.919801,25.143191,27560,https://www.visimarsrutai.lt/#/stop/result?stopId=27560,0,,,,0,,
2370-28145,,Bratoniškės,54.850059,25.373754,28145,https://www.visimarsrutai.lt/#/stop/result?stopId=28145,0,,,,0,,
2370-6174,,Družiliai,54.921744,25.62036,6174,https://www.visimarsrutai.lt/#/stop/result?stopId=6174,0,,,,0,,
2370-6224,,Drebulynės st.,54.447183,25.547887,6224,https://www.visimarsrutai.lt/#/stop/result?stopId=6224,0,,,,0,,
2370-6872,,Rudamina,54.591775,25.347963,6872,https://www.visimarsrutai.lt/#/stop/result?stopId=6872,0,,,,0,,
2370-28229,,Karačiūnai,54.772735,25.383035,28229,https://www.visimarsrutai.lt/#/stop/result?stopId=28229,0,,,,0,,
2370-29589,,Įsruties,54.710355,25.181499,29589,https://www.visimarsrutai.lt/#/stop/result?stopId=29589,0,,,,0,,
2370-29592,,Padekaniškės,54.710552,25.160104,29592,https://www.visimarsrutai.lt/#/stop/result?stopId=29592,0,,,,0,,
2370-33182,,SB „Karačiūnai“,54.773611,25.407984,33182,https://www.visimarsrutai.lt/#/stop/result?stopId=33182,0,,,,0,,
2370-7084,,Rukainių Girin.,54.60995,25.527687,7084,https://www.visimarsrutai.lt/#/stop/result?stopId=7084,0,,,,0,,
2370-7779,,Kalesninkai,54.539726,25.570045,7779,https://www.visimarsrutai.lt/#/stop/result?stopId=7779,0,,,,0,,
2370-8010,,Žalesos,54.865185,25.333017,8010,https://www.visimarsrutai.lt/#/stop/result?stopId=8010,0,,,,0,,
2370-45881,,Rudamina,54.591909,25.345168,45881,https://www.visimarsrutai.lt/#/stop/result?stopId=45881,0,,,,0,,
2370-10241,,Santaka,55.030999,25.249615,10241,https://www.visimarsrutai.lt/#/stop/result?stopId=10241,0,,,,0,,
2370-10328,,Liepų st.,54.649031,25.438962,10328,https://www.visimarsrutai.lt/#/stop/result?stopId=10328,0,,,,0,,
2370-10450,,Kaidonėliai,55.009843,25.513692,10450,https://www.visimarsrutai.lt/#/stop/result?stopId=10450,0,,,,0,,
2370-11904,,Ažulaukė Ii,54.872525,25.361144,11904,https://www.visimarsrutai.lt/#/stop/result?stopId=11904,0,,,,0,,
2370-12455,,Gulbinė,54.561111,25.586932,12455,https://www.visimarsrutai.lt/#/stop/result?stopId=12455,0,,,,0,,
2370-12659,,Raistelis,54.92915,25.485175,12659,https://www.visimarsrutai.lt/#/stop/result?stopId=12659,0,,,,0,,
2370-12704,,Ryšininkas,54.844863,25.498424,12704,https://www.visimarsrutai.lt/#/stop/result?stopId=12704,0,,,,0,,
2370-13438,,Senasalis,54.513183,25.528723,13438,https://www.visimarsrutai.lt/#/stop/result?stopId=13438,0,,,,0,,
2370-13687,,Dvarčiai,54.585811,25.624485,13687,https://www.visimarsrutai.lt/#/stop/result?stopId=13687,0,,,,0,,
2370-13704,,S.b. Vėtrungė,54.766168,25.033094,13704,https://www.visimarsrutai.lt/#/stop/result?stopId=13704,0,,,,0,,
2370-13890,,Padvarionių st.,54.519377,25.629249,13890,https://www.visimarsrutai.lt/#/stop/result?stopId=13890,0,,,,0,,
2370-14318,,Pivoriūnai,55.0455,25.351438,14318,https://www.visimarsrutai.lt/#/stop/result?stopId=14318,0,,,,0,,
2370-14690,,Arklėnai,54.556572,25.502359,14690,https://www.visimarsrutai.lt/#/stop/result?stopId=14690,0,,,,0,,
2370-15059,,Saltoniškių,54.868878,25.269073,15059,https://www.visimarsrutai.lt/#/stop/result?stopId=15059,0,,,,0,,
2370-15113,,Tabariškių st.,54.440497,25.588399,15113,https://www.visimarsrutai.lt/#/stop/result?stopId=15113,0,,,,0,,
2370-15121,,Buivydžiai,54.836056,25.733696,15121,https://www.visimarsrutai.lt/#/stop/result?stopId=15121,0,,,,0,,
2370-15135,,Medelynas,54.650877,25.427617,15135,https://www.visimarsrutai.lt/#/stop/result?stopId=15135,0,,,,0,,
2370-15306,,Rudokai,55.061485,25.349296,15306,https://www.visimarsrutai.lt/#/stop/result?stopId=15306,0,,,,0,,
2370-15445,,Burkila,55.004541,25.252723,15445,https://www.visimarsrutai.lt/#/stop/result?stopId=15445,0,,,,0,,
2370-15750,,Rastinėnai,54.772009,25.010738,15750,https://www.visimarsrutai.lt/#/stop/result?stopId=15750,0,,,,0,,
2370-15770,,Didžioji Kuosinė,54.593405,25.64873,15770,https://www.visimarsrutai.lt/#/stop/result?stopId=15770,0,,,,0,,
2370-16394,,Sadūniškės,54.651766,25.563987,16394,https://www.visimarsrutai.lt/#/stop/result?stopId=16394,0,,,,0,,
2370-16425,,Vindžiūnai,54.565019,25.726339,16425,https://www.visimarsrutai.lt/#/stop/result?stopId=16425,0,,,,0,,
2370-16604,,Pauliukonys,54.972446,25.498993,16604,https://www.visimarsrutai.lt/#/stop/result?stopId=16604,0,,,,0,,
2370-7023,,Jusinė,54.937852,25.645454,7023,https://www.visimarsrutai.lt/#/stop/result?stopId=7023,0,,,,0,,
2370-24431,,Antakalnio transporto mazgas,54.723692,25.319725,24431,https://www.visimarsrutai.lt/#/stop/result?stopId=24431,0,,,,0,,
2370-4853,,Radžiuliai,54.906934,25.32354,4853,https://www.visimarsrutai.lt/#/stop/result?stopId=4853,0,,,,0,,
2370-14321,,Mokykla,54.884319,25.243884,14321,https://www.visimarsrutai.lt/#/stop/result?stopId=14321,0,,,,0,,
2370-3916,,Pauliukonys,54.973338,25.498864,3916,https://www.visimarsrutai.lt/#/stop/result?stopId=3916,0,,,,0,,
2370-21514,,Veliučionys,54.656431,25.445429,21514,https://www.visimarsrutai.lt/#/stop/result?stopId=21514,0,,,,0,,
2370-21522,,Geležinkelio stotis,54.639074,25.687903,21522,https://www.visimarsrutai.lt/#/stop/result?stopId=21522,0,,,,0,,
2370-21935,,Čekėnai,54.583377,25.36333,21935,https://www.visimarsrutai.lt/#/stop/result?stopId=21935,0,,,,0,,
2370-3926,,Lukšinė,54.569389,25.509356,3926,https://www.visimarsrutai.lt/#/stop/result?stopId=3926,0,,,,0,,
2370-3962,,Balėnai,54.861459,25.66044,3962,https://www.visimarsrutai.lt/#/stop/result?stopId=3962,0,,,,0,,
2370-3982,,Ragūnai,54.892882,25.473884,3982,https://www.visimarsrutai.lt/#/stop/result?stopId=3982,0,,,,0,,
2370-4015,,Pakalniai,54.848978,25.60078,4015,https://www.visimarsrutai.lt/#/stop/result?stopId=4015,0,,,,0,,
2370-4071,,1-ieji Leičiai,54.751288,25.081504,4071,https://www.visimarsrutai.lt/#/stop/result?stopId=4071,0,,,,0,,
2370-4732,,Pakalniai,54.848515,25.599601,4732,https://www.visimarsrutai.lt/#/stop/result?stopId=4732,0,,,,0,,
2370-22022,,Medininkai 3,54.529872,25.639852,22022,https://www.visimarsrutai.lt/#/stop/result?stopId=22022,0,,,,0,,
2370-24427,,Smėlynė,54.754596,25.365586,24427,https://www.visimarsrutai.lt/#/stop/result?stopId=24427,0,,,,0,,
2370-24443,,Skersabaliai,54.839988,25.562225,24443,https://www.visimarsrutai.lt/#/stop/result?stopId=24443,0,,,,0,,
2370-24450,,Žalgirio st.,54.704305,25.284512,24450,https://www.visimarsrutai.lt/#/stop/result?stopId=24450,0,,,,0,,
2370-4918,,Meškonys,54.930454,25.310567,4918,https://www.visimarsrutai.lt/#/stop/result?stopId=4918,0,,,,0,,
2370-24493,,Vaitkūnai,54.992761,25.405238,24493,https://www.visimarsrutai.lt/#/stop/result?stopId=24493,0,,,,0,,
2370-27227,,Dunojaus,54.66653,25.306368,27227,https://www.visimarsrutai.lt/#/stop/result?stopId=27227,0,,,,0,,
2370-27228,,Guriai 2,54.659082,25.364055,27228,https://www.visimarsrutai.lt/#/stop/result?stopId=27228,0,,,,0,,
2370-5470,,Spreiniai,54.969144,25.276018,5470,https://www.visimarsrutai.lt/#/stop/result?stopId=5470,0,,,,0,,
2370-5485,,Šriubiškės,54.939408,25.252845,5485,https://www.visimarsrutai.lt/#/stop/result?stopId=5485,0,,,,0,,
2370-5728,,Pušinė,54.836024,25.552122,5728,https://www.visimarsrutai.lt/#/stop/result?stopId=5728,0,,,,0,,
2370-5733,,Miškų urėdija,54.837651,25.472933,5733,https://www.visimarsrutai.lt/#/stop/result?stopId=5733,0,,,,0,,
2370-5767,,Karveliškės,54.862867,25.423357,5767,https://www.visimarsrutai.lt/#/stop/result?stopId=5767,0,,,,0,,
2370-5849,,Pašiliai,54.844482,25.283312,5849,https://www.visimarsrutai.lt/#/stop/result?stopId=5849,0,,,,0,,
2370-27549,,Pikeliškės,54.870154,25.250339,27549,https://www.visimarsrutai.lt/#/stop/result?stopId=27549,0,,,,0,,
2370-27551,,Šriubiškės 1,54.938312,25.265719,27551,https://www.visimarsrutai.lt/#/stop/result?stopId=27551,0,,,,0,,
2370-6197,,Naujasėdžiai,54.55514,25.605098,6197,https://www.visimarsrutai.lt/#/stop/result?stopId=6197,0,,,,0,,
2370-6205,,Medininkų st.,54.542367,25.649341,6205,https://www.visimarsrutai.lt/#/stop/result?stopId=6205,0,,,,0,,
2370-6246,,Mūrininkai,54.592518,25.556678,6246,https://www.visimarsrutai.lt/#/stop/result?stopId=6246,0,,,,0,,
2370-6247,,13-sis kilometras,54.62474,25.431394,6247,https://www.visimarsrutai.lt/#/stop/result?stopId=6247,0,,,,0,,
2370-6684,,Pervaža,54.812609,25.522733,6684,https://www.visimarsrutai.lt/#/stop/result?stopId=6684,0,,,,0,,
