route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2370-10081,2370-637,2370-7595267,Nemenčinė,5š,,,2370-28707,0,0
2370-10081,2370-637,2370-7595271,Nemenčinė,9š,,,2370-28707,0,0
2370-10081,2370-25264,2370-7595273,Nemenčinė,11š,,,2370-28707,0,0
2370-10081,2370-637,2370-7595274,Nemenčinė,19š,,,2370-28707,0,0
2370-3807,2370-635,2370-5344444,Antakalnio transporto mazgas,8*,,,2370-23591,0,0
2370-1811,2370-635,2370-7150736,Vilniaus autobusų stotis,2*,,,2370-16380,0,0
2370-4722,2370-482,2370-7591199,Rastinėnai,3v,,,2370-23552,0,0
2370-4722,2370-635,2370-7591198,Rastinėnai,2v,,,2370-23552,0,0
2370-3642,2370-635,2370-7150902,Giedraičiai,5,,,2370-26109,0,0
2370-3781,2370-637,2370-7591135,Nemenčinė,6,,,2370-33192,0,0
2370-3781,2370-635,2370-7591136,Skirgiškės,8*,,,2370-33193,0,0
2370-4722,2370-635,2370-7591195,Rastinėnai,14,,,2370-23553,0,0
2370-10081,2370-638,2370-7595279,Nemenčinė,7s,,,2370-28707,0,0
2370-10081,2370-637,2370-3846098,Nemenčinė,6š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846099,Nemenčinė,9š,,,2370-20762,0,0
2370-10081,2370-638,2370-3846100,Nemenčinė,2s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846102,Nemenčinė,3s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846103,Nemenčinė,4s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846104,Nemenčinė,5s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846105,Nemenčinė,6s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846106,Nemenčinė,9s,,,2370-20762,0,0
2370-10081,2370-638,2370-3846107,Nemenčinė,7s,,,2370-20762,0,0
2370-10081,2370-637,2370-3846108,Nemenčinė,2š,,,2370-20762,0,0
2370-10081,2370-635,2370-3846109,Nemenčinė,2,,,2370-20762,0,0
2370-10081,2370-635,2370-3846110,Nemenčinė,6,,,2370-20762,0,0
2370-3643,2370-482,2370-5787299,Pramogų arena,1*,,,2370-24315,0,0
2370-10081,2370-635,2370-7440498,Nemenčinė,7d,,,2370-28707,0,0
2370-3784,2370-635,2370-5355445,Gėla,2,,,2370-9932,0,0
2370-3786,2370-635,2370-7440501,Nemenčinė,3m*,,,2370-23653,0,0
2370-3806,2370-637,2370-7340091,Antakalnio žiedas,13*,,,2370-23589,0,0
2370-10081,2370-637,2370-3846111,Nemenčinė,12š,,,2370-20762,0,0
2370-10081,2370-635,2370-3846112,Nemenčinė,12,,,2370-20762,0,0
2370-10081,2370-635,2370-3846113,Nemenčinė,18,,,2370-20762,0,0
2370-10081,2370-635,2370-3846114,Nemenčinė,22,,,2370-20762,0,0
2370-10081,2370-637,2370-3846115,Nemenčinė,11š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846116,Nemenčinė,15š,,,2370-20762,0,0
2370-10081,2370-635,2370-3846117,Nemenčinė,11,,,2370-20762,0,0
2370-10081,2370-635,2370-3846118,Nemenčinė,1,,,2370-20762,0,0
2370-10081,2370-637,2370-3846119,Nemenčinė,7š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846120,Nemenčinė,8š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846121,Nemenčinė,5š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846122,Nemenčinė,10š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846123,Nemenčinė,13š,,,2370-20762,0,0
2370-10081,2370-637,2370-3846124,Nemenčinė,14š,,,2370-20762,0,0
2370-10081,2370-635,2370-3846125,Nemenčinė,5,,,2370-20762,0,0
2370-10081,2370-635,2370-3846126,Nemenčinė,7,,,2370-20762,0,0
2370-10081,2370-635,2370-3846127,Nemenčinė,14,,,2370-20762,0,0
2370-10081,2370-635,2370-3846128,Nemenčinė,9,,,2370-20762,0,0
2370-10081,2370-635,2370-3846129,Nemenčinė,15,,,2370-20762,0,0
2370-10081,2370-635,2370-3846130,Nemenčinė,16,,,2370-20762,0,0
2370-3645,2370-482,2370-3918605,Nemenčinė,1,,,2370-20774,0,0
2370-2717,2370-635,2370-7551266,Nemenčinė,9*,,,2370-23648,0,0
2370-2026_57812,2370-636,2370-3872373,Laibiškių st.,5,,,2370-5060,0,0
2370-10081,2370-635,2370-3872410,A. Mickevičiaus,28,,,2370-20762,0,0
2370-2021_1042430,2370-635,2370-1042430,Senasalis,2,,,2370-12978,0,0
2370-2021_1042431,2370-635,2370-1042431,Senasalis,1,,,2370-12978,0,0
2370-2021_1042432,2370-636,2370-1042432,Senasalis,3,,,2370-12978,0,0
2370-2021_1042432,2370-482,2370-1042433,Senasalis,4,,,2370-12978,0,0
2370-2021_1042435,2370-635,2370-1042435,Rūkainiai,1*,,,2370-12979,0,0
2370-2021_1042432,2370-635,2370-1042436,Vilniaus autobusų stotis,2*,,,2370-12979,0,0
2370-2021_1042432,2370-482,2370-1042437,Vilniaus autobusų stotis,5*,,,2370-12979,0,0
2370-2021_1042432,2370-482,2370-1042438,Vilniaus autobusų stotis,4*,,,2370-12979,0,0
2370-2021_1042432,2370-636,2370-1042439,Vilniaus autobusų stotis,3*,,,2370-12979,0,0
2370-3806,2370-635,2370-5344424,Antakalnio žiedas,9*,,,2370-23589,0,0
2370-2026_57812,2370-636,2370-3872374,Vilniaus autobusų stotis,4*,,,2370-5062,0,0
2370-1702,2370-636,2370-2324646,Šumskas,5,,,2370-16553,0,0
2370-3806,2370-637,2370-7340090,Antakalnio žiedas,11*,,,2370-23589,0,0
2370-10081,2370-635,2370-3846080,Nemenčinė,3,,,2370-20762,0,0
2370-10081,2370-637,2370-3846081,Nemenčinė,3š,,,2370-20762,0,0
2370-10081,2370-638,2370-3846082,Nemenčinė,12s,,,2370-20762,0,0
2370-10081,2370-635,2370-3846084,Nemenčinė,8,,,2370-20762,0,0
2370-10081,2370-636,2370-3846086,Nemenčinė,8s,,,2370-20762,0,0
