service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
546,1,1,1,1,1,1,1,20150701,20250630
2939,1,1,1,1,1,1,0,20150701,20250630
25264,0,0,0,0,0,1,0,20190901,20250630
635,1,1,1,1,1,0,0,20150701,20250630
636,0,0,0,0,0,1,1,20150701,20250630
637,0,0,0,0,0,1,0,20150701,20250630
548,0,0,0,0,0,0,1,20150701,20250630
482,1,1,1,1,1,1,1,20150701,20250630
483,1,1,1,1,1,0,0,20150701,20250630
22845,1,1,1,1,0,0,0,20150701,20250630
31589,0,1,0,1,0,0,0,20200804,20260801
551,1,1,1,1,1,0,0,20150701,20250731
638,0,0,0,0,0,0,1,20150701,20250630
44029,0,0,0,0,0,1,1,20220901,20320618
23903,1,0,1,0,1,0,0,20150701,20250630
634,1,1,1,1,1,1,1,20150701,20250630
21778,0,0,0,0,1,0,0,20190401,20250630
21871,0,0,1,1,0,0,0,20160731,20250630
639,0,0,1,0,0,0,0,20150701,20251231
2912,1,1,1,1,1,0,1,20150701,20250630
547,1,1,1,1,1,0,0,20150701,20250630
2683,1,1,1,1,1,0,0,20150701,20250630
